,id,colorDescription,portrait_url,squarishURL,Stock,isNew,currentPrice_2020-07-26,fullPrice,subtitle,title,date,url,currentPrice_2020-07-09,currentPrice_2020-07-15,currentPrice_2020-07-22,currentPrice_2020-07-11,currentPrice_2020-08-02,currentPrice_2020-07-20,currentPrice_2020-07-13,currentPrice_2020-07-12,currentPrice_2020-07-24,currentPrice_2020-07-25,currentPrice_2020-07-18,currentPrice_2020-07-16,currentPrice_2020-07-17,currentPrice_2020-08-08,currentPrice_2020-07-30,currentPrice_2020-07-21,currentPrice_2020-07-23,currentPrice_2020-07-10,currentPrice_2020-07-29,currentPrice_2020-07-19,currentPrice_2020-08-04,currentPrice_2020-07-14,currentPrice_2020-07-31,currentPrice_2020-07-07,currentPrice_2020-08-01,currentPrice_2020-08-05,currentPrice_2020-07-08,currentPrice_2020-07-28,currentPrice_2020-08-07
119,f5aa046d-6505-3a95-92af-53b5fbcf9a80,Veneno limón/Negro,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/i1-209ec723-b006-4ae2-8441-dc0194487853/image.jpg",https://static.nike.com/a/images/t_default/i1-debc7658-804e-47db-b376-96cbb519c709/calzado-de-fútbol-para-césped-deportivo-mercurial-superfly-7-elite-mds-tf-cwHRCG.jpg,True,False,2958.0,3699,Calzado de fútbol para césped deportivo artificial (turf),Nike Mercurial Superfly 7 Elite MDS TF,2020-07-26,{countryLang}/t/calzado-de-fútbol-para-césped-deportivo-mercurial-superfly-7-elite-mds-tf-cwHRCG/BQ5471-703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,d653ded5-ce53-39b1-a400-b38acb1a24a0,Veneno limón/Negro,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/i1-6542841b-f771-40ed-947d-e6611243924a/image.jpg",https://static.nike.com/a/images/t_default/i1-86c95def-bbd0-43a8-b4ea-6e58de3e1252/calzado-de-fútbol-para-cancha-cubierta-mercurial-superfly-7-elite-mds-ic-Pv0XVw.jpg,True,False,2958.0,3699,Calzado de fútbol para cancha cubierta,Nike Mercurial Superfly 7 Elite MDS IC,2020-07-26,{countryLang}/t/calzado-de-fútbol-para-cancha-cubierta-mercurial-superfly-7-elite-mds-ic-Pv0XVw/BQ5470-703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,206573c3-c70d-3124-bef5-9d1ba12914d3,Negro/Rojo universitario/Gris lobo/Blanco,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/cc84a96f-ab84-4278-a4a0-8ac4b4eb5407/image.jpg",https://static.nike.com/a/images/t_default/76c85b08-4410-4ff7-b15d-4d5d98fb58ee/calzado-de-básquetbol-air-force-max-1-ZXgnrV.jpg,False,False,2798.0,3498,Calzado de básquetbol,Nike Air Force Max II,2020-07-26,{countryLang}/t/calzado-de-básquetbol-air-force-max-1-ZXgnrV/AV6243-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,e6c3f85f-95d8-3022-b8e9-9da981cb0f8c,Limón oscuro/Verde aire libre/Azul Pacífico/Volt resplandor,"https://c.static-nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/by7mhhkjorregtwqiha5/image.jpg",https://c.static-nike.com/a/images/t_default/cpyvdgp0au5kpnbch216/calzado-okwahn-2-3QC4QW.jpg,True,False,1918.0,2399,Calzado para hombre,Nike Okwahn II,2020-07-26,{countryLang}/t/calzado-okwahn-2-3QC4QW/525367-301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2ac851df-056d-3651-a709-abf3c087379c,Azul vacío/Blanco/Negro/Voltio ligero,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/d48fb056-bf38-45db-b441-24c376c49aa2/image.jpg",https://static.nike.com/a/images/t_default/gaiztwatyn22m6hei2ae/calzado-de-fútbol-para-césped-artificial-mercurial-vapor-13-academy-mds-ag-9PFT4g.jpg,True,False,1358.0,1699,Calzado de fútbol para césped artificial,Nike Mercurial Vapor 13 Academy MDS AG,2020-07-26,{countryLang}/t/calzado-de-fútbol-para-césped-artificial-mercurial-vapor-13-academy-mds-ag-9PFT4g/CJ1291-401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,36f1fc4e-0439-3c6f-8933-efa17eaccb83,Negro/Azul carrera/Carmesí brillante/Blanco,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/y507ctmko8gkogcar0l5/image.jpg",https://static.nike.com/a/images/t_default/kqg4qzrbclj4znkyvr9s/calzado-de-básquetbol-zoom-kd11-T23Chl.jpg,False,False,2558.0,3199,Calzado de básquetbol,Nike Zoom KD11,2020-07-26,{countryLang}/t/calzado-de-básquetbol-zoom-kd11-T23Chl/AO2604-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,f8d54e3f-9806-33ad-b625-55056f56f074,Gris lobo/Sigilo/Gris oscuro,"https://c.static-nike.com/a/images/ar_4:5,c_pad,w_400,f_auto/t_product_v1/kshqhsb8fgxfh52mnfml/calzado-de-running-air-max-fury-gXTOK7bv.jpg",https://c.static-nike.com/a/images/t_default/kshqhsb8fgxfh52mnfml/calzado-de-running-air-max-fury-gXTOK7bv.jpg,False,False,1758.0,2199,Calzado de running para hombre,Nike Air Max Fury,2020-07-26,{countryLang}/t/calzado-de-running-air-max-fury-gXTOK7bv/AA5739-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,8d950ad8-9436-3412-afdc-216effa24a49,Blanco/Azul carrera/Volt/Negro,"https://static.nike.com/a/images/ar_4:5,c_pad,w_400,f_auto/t_product_v1/0bbb02d7-3f80-4856-a9e2-9b70d80c8f5b/calzado-de-fútbol-para-césped-artificial-mercurial-vapor-13-academy-neymar-jr-ag-vHWqHF.jpg",https://static.nike.com/a/images/t_default/0bbb02d7-3f80-4856-a9e2-9b70d80c8f5b/calzado-de-fútbol-para-césped-artificial-mercurial-vapor-13-academy-neymar-jr-ag-vHWqHF.jpg,True,False,1618.0,1798,Calzado de fútbol para césped artificial,Nike Mercurial Vapor 13 Academy Neymar Jr. AG,2020-07-26,{countryLang}/t/calzado-de-fútbol-para-césped-artificial-mercurial-vapor-13-academy-neymar-jr-ag-vHWqHF/AT7956-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,39c0291a-eead-323b-aed0-a7e23f506d09,Negro/Azul verdoso geoda/Rojo habanero/Negro,"https://c.static-nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/ns48fkwyxcgi5bahgwj3/image.jpg",https://c.static-nike.com/a/images/t_default/mxgk5jimhtmnqphbagny/calzado-acg-ruckle-ridge-1dh4SH.jpg,True,False,2798.0,3499,Calzado para hombre,Nike ACG Ruckle Ridge,2020-07-26,{countryLang}/t/calzado-acg-ruckle-ridge-1dh4SH/AQ9333-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,7a3bb32e-20a5-3c54-adb4-6d02f0b30a90,Negro/Vela/Amanecer ámbar,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/nzhhjpxjmbqp81ht3e5y/image.jpg",https://static.nike.com/a/images/t_default/soyvl3hp5vxk2viomtfl/calzado-blazer-77-J48x5k.jpg,False,False,1758.0,2199,Calzado para hombre,Nike Blazer '77,2020-07-26,{countryLang}/t/calzado-blazer-77-J48x5k/CJ9693-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
